family_group_id,hashed_lens_id,is_representative,merge_reason
FG-0263,6e375f49cc6da0d0,True,singleton
FG-0264,6469238a0d42caf9,True,singleton
FG-0265,49abf704cbc8236e,True,singleton
FG-0266,05e3e6078fd56b78,True,singleton
FG-0267,2b86bdb89ff35241,True,singleton
FG-0268,43e3d446cae9de06,True,singleton
FG-0269,aa4de16e7a653533,True,singleton
FG-0270,20d679f299a6fcc1,True,singleton
FG-0271,836c0b89e4b92b67,True,singleton
FG-0272,0b05f962b9c0a501,True,singleton
FG-0273,ab24d7fe6031ff9f,True,singleton
FG-0274,55a9b081baeb594e,True,singleton
FG-0275,0ad63639eebd394d,True,singleton
FG-0276,a84598edc8d24638,True,singleton
FG-0277,66784b4067b23736,True,singleton
FG-0278,1c5362dc64125c4b,True,singleton
FG-0279,50e2e6a3fd2e9c30,True,singleton
FG-0280,6fcd22e35fbdf43d,True,singleton
FG-0281,86a7473a6b61650e,True,singleton
FG-0282,897f6338be71923f,True,singleton
FG-0283,881920fbb725a7ac,True,singleton
FG-0284,d46ab8eb8cfe9af9,True,singleton
FG-0285,d230fe61d8ba6aeb,True,singleton
FG-0286,5b4420275bc8e2ec,True,singleton
FG-0287,ad71e75e600a2075,True,singleton
FG-0288,c5fa1465fd15bb8f,True,singleton
FG-0289,100ae926766e7f85,True,singleton
FG-0290,f27a22c4f9a424c2,True,singleton
FG-0291,77f2fd90aa422478,True,singleton
FG-0292,4b5f925cfed92340,True,singleton
FG-0293,f98f6d7c05f64f1a,True,singleton
FG-0294,740c8ce8ce2d921b,True,singleton
FG-0295,4eab01fa799b3060,True,singleton
FG-0296,c7cd863b0b2690bc,True,singleton
FG-0297,5437a4a8eefb014c,True,singleton
FG-0298,e4fe6a8b7c5f5e51,True,singleton
FG-0299,243e151852f24192,True,singleton
FG-0300,5039a19db1c6601c,True,singleton
FG-0301,19f1195c4fe202d7,True,singleton
FG-0302,3d963547ab348f8b,True,singleton
FG-0303,7eb81ea9c4a82ce9,True,singleton
FG-0304,c761213cbc113333,True,singleton
FG-0305,15f009eb8566e731,True,singleton
FG-0306,e7c25571175711ae,True,singleton
FG-0307,379305dab7684e59,True,singleton
FG-0308,e93cd08f708711d1,True,singleton
FG-0309,c5f802bebf4b6e89,True,singleton
FG-0310,cc15a3c0a28eccdf,True,singleton
FG-0311,7e1e1260190b8070,True,singleton
FG-0312,e5612475fee09bd7,True,singleton
FG-0313,602720f9144e3a5f,True,singleton
FG-0314,a6a140351db45b66,True,singleton
FG-0315,b483d8ab3bff088a,True,singleton
FG-0316,ba05136a35f0399a,True,singleton
FG-0317,20f8cf6d74edb085,True,singleton
FG-0318,e70e9ce42f487ebd,True,singleton
FG-0319,1ab9f8c9b9225de8,True,singleton
FG-0320,9b335a2399d140ef,True,singleton
FG-0321,fc6b2fbaf6f38c21,True,singleton
FG-0322,2b2eb7da67221488,True,singleton
FG-0323,b74afaef739f2caa,True,singleton
FG-0324,ce59eb1e89a9a6ba,True,singleton
FG-0325,7081592ea981632c,True,singleton
FG-0326,74366d5bbf082c78,True,singleton
FG-0327,459ad9a9ad8d8a5d,True,singleton
FG-0328,1a0a96b9cb9e97cf,True,singleton
FG-0329,5943870d7455c76e,True,singleton
FG-0330,f10100e45f6281da,True,singleton
FG-0331,c0d16fa6ff279f0e,True,singleton
FG-0332,04f155e891aa61fc,True,singleton
FG-0333,7b49605d65eddb99,True,singleton
FG-0334,2e54a0b90ecb1e98,True,singleton
FG-0335,5e65178e0a51e9ce,True,singleton
FG-0336,cfafb743fdc7a91e,True,singleton
FG-0337,36c7afa99de64b22,True,singleton
FG-0338,d056a121db5e8792,True,singleton
FG-0339,8cc21bbf5df91679,True,singleton
FG-0340,b57524849fcb6103,True,singleton
FG-0341,78a4c1866672225c,True,singleton
FG-0342,e55df98567348a47,True,singleton
FG-0343,00f4938eafeceae5,True,singleton
FG-0344,026d2edbbfcaa9b7,True,singleton
FG-0345,ee9b5a1119173fdb,True,singleton
FG-0346,8555962fede5a661,True,singleton
FG-0347,40dab8b1413760d3,True,singleton
FG-0348,0d8b68244e7f9856,True,singleton
FG-0349,5a950430dd812ad2,True,singleton
FG-0350,e348948ee29e6c78,True,singleton
FG-0351,d9e13260539764f6,True,singleton
FG-0352,7063ef0e5a5e87bc,True,singleton
FG-0353,ae76663d15293031,True,singleton
FG-0354,41d06b2e0fde6f44,True,singleton
FG-0355,1aa149e79dec98c8,True,singleton
FG-0356,9f3f4dd25f7381f0,True,singleton
FG-0357,f3baebd7c33a5274,True,singleton
FG-0358,6115f2987471632b,True,singleton
FG-0359,312665113612013f,True,singleton
FG-0360,2b08a0c92123ba2b,True,singleton
FG-0361,337d6d82357cf765,True,singleton
FG-0362,9f6bb6442287fd59,True,singleton
FG-0363,0f3dc8ea37f68ce8,True,singleton
FG-0364,3e0f2cd127096d4d,True,singleton
FG-0365,0efbc58b485b04d6,True,singleton
FG-0366,cca6961c98d48bdb,True,singleton
FG-0367,4b931662832d8820,True,singleton
FG-0368,77fe0b23a9af8601,True,singleton
FG-0369,35eab193b14451bf,True,singleton
FG-0370,b55bb4fe5e721809,True,singleton
FG-0371,b20cba6f9774aaeb,True,singleton
FG-0372,0ceb9ea55aa530cc,True,singleton
FG-0373,896a05bf23c3a525,True,singleton
FG-0374,3629e723c9ce775b,True,singleton
FG-0375,39abcadde4a84f01,True,singleton
FG-0376,f17257e3385de83b,True,singleton
FG-0377,c9fc76ab7dee510e,True,singleton
FG-0378,9c16b598a480cf01,True,singleton
FG-0379,6afea50a5a66b5a0,True,singleton
FG-0380,1e6f83aad52a76be,True,singleton
FG-0381,8ea0c600b8248dd5,True,singleton
FG-0382,12910590447c05ad,True,singleton
FG-0383,3f83876e00becff0,True,singleton
FG-0384,a939249b264d7cc5,True,singleton
FG-0384,a389f26dc662b43d,False,lens_simple_family_id
FG-0385,1c5f90ad20bd005d,True,singleton
FG-0385,01ef763756512be1,False,lens_simple_family_id
FG-0386,2934bd3a4e6f3310,True,singleton
FG-0386,cd353aabd11057e0,False,lens_simple_family_id
FG-0387,9cee0d3696f4de94,True,singleton
FG-0387,458465ce044d2001,False,lens_simple_family_id
FG-0388,c00e2e3cc4acb5ef,True,singleton
FG-0388,0c0bd752060c6233,False,lens_simple_family_id
FG-0389,75cb850963937152,True,singleton
FG-0389,1f3ee0141cfbeb1f,False,lens_simple_family_id
FG-0390,94bb58e476474d65,True,singleton
FG-0390,f2f366d4b26e27f0,False,lens_simple_family_id
FG-0391,392ce461bb10678a,True,singleton
FG-0391,e78621e448ceda10,False,lens_simple_family_id
FG-0392,a12d8e3fba3c5df2,True,singleton
FG-0392,1665f9e784a9ca16,False,lens_simple_family_id
FG-0393,0575e4748109e372,True,singleton
FG-0393,00fda713ebcd91cd,False,lens_simple_family_id
FG-0394,adec9a6aa718265b,True,singleton
FG-0394,a4eca27c5c7503f6,False,lens_simple_family_id
FG-0395,6e7624447c8d245a,True,singleton
FG-0395,e9d16021ebe78841,False,lens_simple_family_id
FG-0396,1bb92241e686f7f4,True,singleton
FG-0396,c69a1e49434e7dfb,False,lens_simple_family_id
FG-0397,ce018a42cd42e0f9,True,singleton
FG-0397,58fc59775c24efea,False,lens_simple_family_id
FG-0398,8f663f7361b15001,True,singleton
FG-0398,f64e57fc5e55b485,False,lens_simple_family_id
FG-0399,eeb12703c91813a9,True,singleton
FG-0399,9859c424a26b1da9,False,lens_simple_family_id
FG-0400,0a399d8fb1f60ee2,True,singleton
FG-0400,175e9c7b5846495e,False,lens_simple_family_id
FG-0401,f23739c02d4a07e3,True,singleton
FG-0401,cd83c72d350139b0,False,lens_simple_family_id
FG-0402,eabc16f5627fc21c,True,singleton
FG-0402,3e38499cc069b872,False,lens_simple_family_id
FG-0403,9752dcf000c775a7,True,singleton
FG-0403,fff6ca6b479b073e,False,lens_simple_family_id
FG-0404,c7d8e6b3619eeb09,True,singleton
FG-0404,ea3572dab19a0000,False,lens_simple_family_id
FG-0405,727af2cfe2f9d054,True,singleton
FG-0405,0b1ed8d43eb84050,False,lens_simple_family_id
FG-0406,a5376624d4075f76,True,singleton
FG-0406,63a592ff483e3111,False,lens_simple_family_id
FG-0407,f0b38f8b874133d2,True,singleton
FG-0407,cb1aeee60e1fc9c9,False,lens_simple_family_id
FG-0408,f485085510f8fd0e,True,singleton
FG-0408,83962da502ffe66c,False,lens_simple_family_id
FG-0409,f60175d49081818b,True,singleton
FG-0409,2153cd5c769543ae,False,lens_simple_family_id
FG-0410,7571b2fbb6a0fd9a,True,singleton
FG-0410,000e1ece7f6a54fb,False,lens_simple_family_id
FG-0411,e739f94839c66701,True,singleton
FG-0411,abee7ea04c64d3a8,False,lens_simple_family_id
FG-0412,57ab1a3bdca0976f,True,singleton
FG-0412,41381156b87d193c,False,lens_simple_family_id
FG-0413,db43e8110b3d9265,True,singleton
FG-0413,186b2d4043658599,False,lens_simple_family_id
FG-0414,ece9fe39832985fd,True,singleton
FG-0414,11771cb1f4939ef9,False,lens_simple_family_id
FG-0415,cc9cf2e8819c0593,True,singleton
FG-0415,0f28a887debc0534,False,lens_simple_family_id
FG-0416,167667731a1a0953,True,singleton
FG-0416,3a7e19983dabef19,False,lens_simple_family_id
FG-0417,0916f72d6f9e843a,True,lens_simple_family_id
FG-0417,8b5cd453778e1399,False,lens_simple_family_id
FG-0418,beeee6455c7cd18a,True,lens_simple_family_id
FG-0418,c6e6bea247718ca9,False,lens_simple_family_id
FG-0419,d9ee908893be4338,True,lens_simple_family_id
FG-0419,83cd2a4f668d69f3,False,lens_simple_family_id
FG-0420,e39fafa377a1f7da,True,lens_simple_family_id
FG-0420,0aa2e3238ac8bde1,False,lens_simple_family_id
FG-0421,cf0e678b192a740b,True,lens_simple_family_id
FG-0421,7deb63ba366a470e,False,lens_simple_family_id
FG-0422,df2b4d6645822cc0,True,lens_simple_family_id
FG-0422,432c0a050d183cf9,False,lens_simple_family_id
FG-0423,8a5a76f8f94459f6,True,lens_simple_family_id
FG-0423,15f2db882092d77e,False,lens_simple_family_id
FG-0424,23464bd9e96a261a,True,lens_simple_family_id
FG-0424,5741d9afaa6f5754,False,lens_simple_family_id
FG-0425,5a1e39413eae0807,True,lens_simple_family_id
FG-0425,561ba07790c351e5,False,lens_simple_family_id
FG-0426,2c292e832133ee5f,True,lens_simple_family_id
FG-0426,01e43d1437577069,False,lens_simple_family_id
FG-0427,db99fa4216535573,True,lens_simple_family_id
FG-0427,1330312a9f0feebe,False,lens_simple_family_id
FG-0428,d12e6e4fc357570e,True,lens_simple_family_id
FG-0428,fa819bcf63d41e81,False,lens_simple_family_id
FG-0429,76c264991a34e909,True,lens_simple_family_id
FG-0429,9cd8d0847495b0be,False,lens_simple_family_id
FG-0430,df68e6fbb16a719d,True,lens_simple_family_id
FG-0430,ecb2bf713807d147,False,lens_simple_family_id
FG-0431,30974ba51172ca11,True,lens_simple_family_id
FG-0431,88dde3ce63e902d0,False,lens_simple_family_id
FG-0432,54f487c9ea84204f,True,lens_simple_family_id
FG-0432,1e54b49f50c5bb6b,False,lens_simple_family_id
FG-0433,49d263305ab18a81,True,lens_simple_family_id
FG-0433,44161ccddecc97fe,False,lens_simple_family_id
FG-0434,398da0cb35ec40b9,True,lens_simple_family_id
FG-0434,ac48ca528359f9dc,False,lens_simple_family_id
FG-0435,9f3c56d870826909,True,lens_simple_family_id
FG-0435,c6b74e5cf775b342,False,lens_simple_family_id
FG-0436,045b357d19973576,True,lens_simple_family_id
FG-0436,70926c13a49c9fbd,False,lens_simple_family_id
FG-0437,f3efab4c0ab16ff5,True,lens_simple_family_id
FG-0437,1a81261656aed500,False,lens_simple_family_id
FG-0438,1c5527adccf2eebe,True,lens_simple_family_id
FG-0438,cab2f301199d31b1,False,lens_simple_family_id
FG-0439,599be630375644c2,True,lens_simple_family_id
FG-0439,9a6f3957eadfec1d,False,lens_simple_family_id
FG-0440,e62ce13cfad28074,True,lens_simple_family_id
FG-0440,2ef5af5b74180fa5,False,lens_simple_family_id
FG-0441,96a0c02abccc1f0f,True,lens_simple_family_id
FG-0441,390b93ceed7e86f2,False,lens_simple_family_id
FG-0442,076aedbe128d449a,True,lens_simple_family_id
FG-0442,f426808583fcc22e,False,lens_simple_family_id
FG-0443,ec92a37c4f80707a,True,lens_simple_family_id
FG-0443,705d9831620b387f,False,lens_simple_family_id
FG-0444,9698cb945a4eb5b5,True,lens_simple_family_id
FG-0444,6581e69ae0e704ab,False,lens_simple_family_id
FG-0445,d612a0d86a3d889d,True,lens_simple_family_id
FG-0445,04fa8ec20f2655a6,False,lens_simple_family_id
FG-0446,81fecb9a2830d6e0,True,lens_simple_family_id
FG-0446,a5a04bd8afe768a6,False,lens_simple_family_id
FG-0447,563dcf8f2f4b6626,True,lens_simple_family_id
FG-0447,b927537b12ec9428,False,lens_simple_family_id
FG-0448,629cce19391d3ae6,True,lens_simple_family_id
FG-0448,85ffdb5a43d05bcd,False,lens_simple_family_id
FG-0449,9283cc8fc7236092,True,lens_simple_family_id
FG-0449,002c46c17f277ac8,False,lens_simple_family_id
FG-0450,3004b965e9a9d37a,True,lens_simple_family_id
FG-0450,0018915f3fb45f52,False,lens_simple_family_id
FG-0451,661ea52d5e256f24,True,lens_simple_family_id
FG-0451,fb5c06e628ba58ed,False,lens_simple_family_id
FG-0452,1a881309f8582476,True,lens_simple_family_id
FG-0452,b3d7fa3b26fa8eaf,False,lens_simple_family_id
FG-0453,6eb565327603fc64,True,lens_simple_family_id
FG-0453,c7f1733dc7bd428f,False,lens_simple_family_id
